" ",," ",,"Contact Hours",,"GPA",,"% Credits Passed"
"Variable","n","%","Mean","SD","Mean","SD","Mean","SD"
"Gender ***"," "," "," "," "," "," "," "," "
"F","9,444","44.47","24.20","30.57","3.17","0.67","94.03","13.20"
"M","11,795","55.53","36.32","43.00","3.00","0.71","91.99","15.22"
"Race"," "," "," "," "," "," "," "," "
"Intl","584","2.75","29.81","35.21","3.11","0.75","91.32","16.30"
"Student of Color","3,590","16.90","30.27","38.46","2.94","0.73","91.41","15.38"
"White","15,943","75.06","31.11","38.54","3.11","0.69","93.37","13.90"
"Two or More","673","3.17","33.39","40.16","2.99","0.71","92.19","15.26"
"Unknown","449","2.11","27.65","36.89","3.09","0.79","91.32","17.98"
"Class Standing***"," "," "," "," "," "," "," "," "
"First-year student","4,506","21.22","40.78","40.75","3.07","0.69","94.35","11.68"
"Second-year student","4,808","22.64","33.24","39.20","3.01","0.70","93.09","13.73"
"Junior","5,619","26.46","27.16","36.90","3.06","0.69","91.88","15.55"
"Senior","6,306","29.69","25.50","36.00","3.18","0.71","92.61","15.60"
"Age***"," "," "," "," "," "," "," "," "
"17 and under","460","2.17","38.90","38.55","3.16","0.64","95.51","9.74"
"18–21","16,927","79.70","33.46","39.41","3.10","0.68","93.40","13.65"
"22–25","3,056","14.39","21.15","32.72","2.91","0.79","89.51","18.11"
"Over 25","796","3.75","10.19","22.60","3.05","0.82","90.35","18.05"
"Housing Status***"," "," "," "," "," "," "," "," "
"Off campus","13,924","65.56","25.84","35.74","3.05","0.71","92.26","15.42"
"On campus","7,315","34.44","40.62","41.49","3.13","0.68","94.05","12.26"
"Total","21,239","100.00","30.93","38.46","3.08","0.70","92.91","14.39"